Depth,Time,BHT,Mud Inlet Temp,Mud Outlet Temp,SFT,,,,,,,,,,,,,,,,,,,,,,
1494.77,19.73,67.84,59.27,64.45,126.10,,,,,,,,,,,,,,,,,,,,,,
1455.09,19.73,65.07,60.50,65.06,126.40,,,,,,,,,,,,,,,,,,,,,,
1466.42,19.87,65.38,59.88,65.68,124.56,,,,,,,,,,,,,,,,,,,,,,
1455.09,19.87,65.99,58.96,66.60,124.56,,,,,,,,,,,,,,,,,,,,,,
1500.44,19.87,63.84,58.96,64.14,125.17,,,,,,,,,,,,,,,,,,,,,,
1483.43,19.87,64.76,59.58,62.91,126.09,,,,,,,,,,,,,,,,,,,,,,
1506.10,19.87,65.07,60.81,62.91,128.54,,,,,,,,,,,,,,,,,,,,,,
1534.45,20.00,66.30,61.42,61.99,127.62,,,,,,,,,,,,,,,,,,,,,,
1534.45,20.27,67.53,61.42,61.07,127.01,,,,,,,,,,,,,,,,,,,,,,
1477.76,20.27,73.98,61.43,60.15,126.39,,,,,,,,,,,,,,,,,,,,,,
1500.44,20.27,68.76,60.20,60.46,128.24,,,,,,,,,,,,,,,,,,,,,,
1574.13,20.40,71.84,60.81,59.54,127.93,,,,,,,,,,,,,,,,,,,,,,
1596.80,20.40,69.38,61.43,60.16,129.16,,,,,,,,,,,,,,,,,,,,,,
1613.81,20.40,73.69,61.74,59.85,128.85,,,,,,,,,,,,,,,,,,,,,,
1608.14,20.40,74.91,62.97,60.16,129.15,,,,,,,,,,,,,,,,,,,,,,
1608.14,20.67,75.22,61.74,60.46,129.77,,,,,,,,,,,,,,,,,,,,,,
1636.48,20.67,75.84,60.51,60.77,130.07,,,,,,,,,,,,,,,,,,,,,,
1659.16,20.80,76.46,59.28,61.08,130.99,,,,,,,,,,,,,,,,,,,,,,
1693.17,20.80,74.31,58.97,62.00,131.30,,,,,,,,,,,,,,,,,,,,,,
1681.83,20.93,74.31,56.82,62.93,129.46,,,,,,,,,,,,,,,,,,,,,,
1681.83,21.07,73.08,54.98,63.54,130.38,,,,,,,,,,,,,,,,,,,,,,
1710.17,21.07,70.62,53.75,64.46,132.83,,,,,,,,,,,,,,,,,,,,,,
1704.51,21.07,75.54,56.21,65.69,132.52,,,,,,,,,,,,,,,,,,,,,,
1698.84,21.07,76.15,56.52,65.69,134.36,,,,,,,,,,,,,,,,,,,,,,
1715.84,21.20,77.08,58.97,65.69,134.36,,,,,,,,,,,,,,,,,,,,,,
1755.52,21.33,78.00,59.28,66.00,132.52,,,,,,,,,,,,,,,,,,,,,,
1772.53,21.33,78.93,59.90,66.62,132.83,,,,,,,,,,,,,,,,,,,,,,
1800.87,21.47,73.09,60.82,66.62,134.05,,,,,,,,,,,,,,,,,,,,,,
1795.20,21.60,74.32,61.43,66.62,134.67,,,,,,,,,,,,,,,,,,,,,,
1834.88,21.60,76.47,62.97,66.63,135.89,,,,,,,,,,,,,,,,,,,,,,
1817.88,21.73,72.17,63.28,67.55,133.44,,,,,,,,,,,,,,,,,,,,,,
1772.53,21.73,70.94,64.20,67.24,135.89,,,,,,,,,,,,,,,,,,,,,,
1772.53,21.87,71.24,62.67,66.94,138.65,,,,,,,,,,,,,,,,,,,,,,
1829.22,21.87,72.17,62.97,66.32,135.89,,,,,,,,,,,,,,,,,,,,,,
1863.23,21.87,73.71,63.59,67.86,136.81,,,,,,,,,,,,,,,,,,,,,,
1874.56,22.13,74.33,64.21,67.25,137.11,,,,,,,,,,,,,,,,,,,,,,
1874.56,22.13,78.63,62.98,67.25,138.34,,,,,,,,,,,,,,,,,,,,,,
1812.21,22.13,78.62,63.59,68.18,137.73,,,,,,,,,,,,,,,,,,,,,,
1874.56,22.27,77.40,64.21,67.26,138.03,,,,,,,,,,,,,,,,,,,,,,
1874.56,22.40,76.79,66.36,68.18,139.57,,,,,,,,,,,,,,,,,,,,,,
1885.90,22.40,72.49,67.59,68.80,138.34,,,,,,,,,,,,,,,,,,,,,,
1902.91,22.53,73.72,67.90,67.88,139.26,,,,,,,,,,,,,,,,,,,,,,
1919.91,22.53,75.56,66.05,67.57,140.79,,,,,,,,,,,,,,,,,,,,,,
1919.91,22.67,78.02,65.13,66.04,142.02,,,,,,,,,,,,,,,,,,,,,,
